Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
RAN,BEE,Inbound to,Green,Evening,0.1099910448784249
RAN,BEE,Inbound to,Green,Midday,0.10732350464553199
MIL,WIN,Inbound to,Green,Evening,0.10730486965420298
DRI,KYL,Inbound to,Red,Midday,0.10604917992765796
MIL,WIN,Inbound to,Green,Midday,0.10191436282011657
GLE,GAL,Inbound to,Green,Morning,0.10118335048230098
BRD,GRA,Outbound to,Green,Night,0.09999681552535684
COW,MIL,Inbound to,Green,Night,0.09927447103252847
MYS,SDK,Outbound to,Red,Morning,0.09726395714799461
GOL,DRI,Inbound to,Red,Night,0.09545022302942614
COW,MIL,Inbound to,Green,Midday,0.0944957976572139
COW,BEE,Outbound to,Green,Night,0.09227325895386694
BEE,COW,Inbound to,Green,Evening,0.09027304040574335
CHE,BRI,Inbound to,Green,Evening,0.09011753878226239
DUN,BAL,Inbound to,Green,Midday,0.08860326966972654
STI,GLE,Outbound to,Green,Night,0.08819171036882022
LEO,CPK,Inbound to,Green,Evening,0.08249579113843072
GRA,PHI,Outbound to,Green,Evening,0.08113900143729108
CPK,GLE,Inbound to,Green,Evening,0.07789910972499847
GDK,MYS,Outbound to,Red,Morning,0.07699256526074787
LAU,CHE,Inbound to,Green,Evening,0.06888540136098742
PHI,CAB,Outbound to,Green,Evening,0.06514101216290555
KIN,COO,Inbound to,Red,Midday,0.05892556509887896
GDK,MYS,Outbound to,Red,Night,0.053609420025253936
CPK,GLE,Inbound to,Green,Midday,0.04733684748023998
BAL,KIL,Inbound to,Green,Night,0.04588749724014676
KYL,RED,Inbound to,Red,Night,0.03849001794597505
FOU,BUS,Inbound to,Red,Evening,0.03535533905932725
COO,RED,Inbound to,Red,Midday,0.03535533905932725
GAL,LEO,Inbound to,Green,Evening,0.03227261596789059
GRA,CAB,Outbound to,Green,Morning,0.029462782549439483
CHA,BEE,Inbound to,Green,Night,0.02886751345948129
FOU,ABB,Outbound to,Red,Evening,0.02357022603955162
