TramJourneyID,TravelTimeMinutes,Line,Direction,hour_of_day,ServiceDay,Period
BRI_BRO02_2020_01_30,58.03333333333333,Green,Inbound to,5,2020-01-30,Morning
BRI_BRO02_2020_01_31,57.96666666666667,Green,Inbound to,5,2020-01-31,Morning
BRI_BRO02_2020_02_01,59.983333333333334,Green,Inbound to,6,2020-02-01,Morning
BRI_BRO02_2020_02_02,58.0,Green,Inbound to,7,2020-02-02,Morning
BRI_BRO02_2020_02_03,58.0,Green,Inbound to,6,2020-02-03,Morning
BRI_BRO02_2020_02_04,57.1,Green,Inbound to,5,2020-02-04,Morning
BRI_BRO02_2020_02_05,59.88333333333333,Green,Inbound to,9,2020-02-05,Morning
BRI_BRO02_2020_02_06,58.916666666666664,Green,Inbound to,5,2020-02-06,Morning
BRI_BRO02_2020_02_08,53.983333333333334,Green,Inbound to,6,2020-02-08,Morning
BRI_BRO02_2020_02_09,59.96666666666667,Green,Inbound to,7,2020-02-09,Morning
BRI_BRO02_2020_02_11,57.95,Green,Inbound to,5,2020-02-11,Morning
BRI_BRO02_2020_02_13,56.016666666666666,Green,Inbound to,5,2020-02-13,Morning
BRI_BRO02_2020_02_14,57.0,Green,Inbound to,5,2020-02-14,Morning
BRI_BRO02_2020_02_15,56.016666666666666,Green,Inbound to,6,2020-02-15,Morning
BRI_BRO02_2020_02_16,59.916666666666664,Green,Inbound to,7,2020-02-16,Morning
BRI_BRO02_2020_02_18,57.983333333333334,Green,Inbound to,5,2020-02-18,Morning
BRI_BRO02_2020_02_19,57.983333333333334,Green,Inbound to,8,2020-02-19,Morning
BRI_BRO02_2020_02_20,57.7,Green,Inbound to,9,2020-02-20,Morning
BRI_BRO02_2020_02_21,55.983333333333334,Green,Inbound to,5,2020-02-21,Morning
BRI_BRO02_2020_02_22,53.96666666666667,Green,Inbound to,6,2020-02-22,Morning
BRI_BRO02_2020_02_23,57.95,Green,Inbound to,7,2020-02-23,Morning
BRI_BRO02_2020_02_24,59.0,Green,Inbound to,5,2020-02-24,Morning
