Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
CCK,LAU,Outbound to,Green,Night,0.46546545447180354
PHI,GRA,Inbound to,Green,Morning,0.4652400626763035
CCK,BAW,Inbound to,Green,Evening,0.464845086437086
DUN,MIL,Outbound to,Green,Morning,0.464229336037601
WIN,DUN,Outbound to,Green,Night,0.46266287330496175
BRI,LAU,Inbound to,Green,Evening,0.4620353724910335
GAL,BAW,Outbound to,Green,Night,0.4617759139193267
PHI,BRD,Outbound to,Green,Evening,0.46125957891374125
BAL,SAN,Outbound to,Green,Night,0.458553651231588
GOL,FAT,Inbound to,Red,Evening,0.4579786672474712
GOL,RIA,Inbound to,Red,Morning,0.4577953558297711
MIL,BEE,Inbound to,Green,Morning,0.4570623260901206
LEO,GLE,Inbound to,Green,Morning,0.4569066242297973
WIN,COW,Inbound to,Green,Evening,0.45609922905379213
RIA,GOL,Outbound to,Red,Night,0.45546815633908816
DRI,BLU,Inbound to,Red,Midday,0.4553701965070627
GOL,RIA,Inbound to,Red,Midday,0.45463787110602044
BAW,LEO,Inbound to,Green,Night,0.45412173418487506
TPT,MYS,Outbound to,Red,Night,0.45397288739258695
CIT,BEL,Inbound to,Red,Midday,0.45176266575807206
RED,KIN,Inbound to,Red,Evening,0.45101736847561275
DUN,WIN,Inbound to,Green,Midday,0.45079510002222145
GLE,LEO,Outbound to,Green,Night,0.45074474517558044
LEO,GAL,Outbound to,Green,Midday,0.45041734315276893
BRI,LAU,Inbound to,Green,Morning,0.44964012202524345
BAW,CCK,Inbound to,Green,Morning,0.44913497105238
CCK,BAW,Inbound to,Green,Midday,0.44859807355281905
WIN,MIL,Inbound to,Green,Night,0.4484626310937365
GAL,CPK,Inbound to,Green,Morning,0.4481191197720212
SAN,CPK,Inbound to,Green,Morning,0.44736885104898494
PHI,BRD,Outbound to,Green,Night,0.4470689270415225
GLE,CPK,Outbound to,Green,Evening,0.4470255995928273
BAL,WIN,Outbound to,Green,Evening,0.4454086762613509
CIT,CVN,Outbound to,Red,Evening,0.4448947782758944
GOL,BLU,Outbound to,Red,Night,0.4448222496476637
DRI,KYL,Outbound to,Red,Morning,0.44351954466692856
DRI,SUI,Outbound to,Red,Morning,0.4417649261768073
FAT,SUI,Inbound to,Red,Evening,0.44168238965724377
CCK,LAU,Outbound to,Green,Midday,0.44142595809613844
KIL,DUN,Inbound to,Green,Evening,0.44095850154255556
SAN,STI,Outbound to,Green,Evening,0.43725486793999346
SUI,DRI,Outbound to,Red,Night,0.43693053701059914
GOL,RIA,Inbound to,Red,Evening,0.43528810581292776
RIA,JAM,Inbound to,Red,Midday,0.4351085231174982
FAT,RIA,Inbound to,Red,Morning,0.43501464937993123
RIA,SUI,Inbound to,Red,Midday,0.43463139832328856
RED,KIN,Inbound to,Red,Midday,0.43117830844566524
CPK,STI,Inbound to,Green,Night,0.4311270389691518
FET,CVN,Inbound to,Red,Midday,0.42806963997893366
FAT,RIA,Inbound to,Red,Midday,0.4274983690485763
CCK,BAW,Inbound to,Green,Night,0.42611006574687643
SUI,DRI,Outbound to,Red,Midday,0.4248394027403059
SUI,DRI,Outbound to,Red,Evening,0.4242642650517513
SDK,GDK,Outbound to,Red,Evening,0.42161076577815915
FAT,RIA,Inbound to,Red,Evening,0.42098305396703967
