Line,Direction,Stop,PeakPeriod,AvgHeadwayMinutes
Green,Outbound,SAN,Morning,16.36588164251208
Green,Outbound,STI,Evening,15.05019351717465
Green,Outbound,STI,Morning,15.753886010362693
Green,Outbound,STS,Evening,9.188358103326255
Green,Outbound,STS,Morning,11.161438258386866
Green,Outbound,TRY,Evening,9.172619883040936
Green,Outbound,TRY,Morning,11.101874366767984
Green,Outbound,WIN,Evening,9.19675401322002
Green,Outbound,WIN,Morning,11.622713699141471
Red,Inbound,ABB,Evening,11.939104761904762
Red,Inbound,ABB,Morning,13.648403361344538
Red,Inbound,BEL,Evening,12.434765177548682
Red,Inbound,BEL,Morning,12.933796940194714
Red,Inbound,BLA,Evening,12.12664814814815
Red,Inbound,BLA,Morning,13.319945759368835
Red,Inbound,BLU,Evening,11.980145413870247
Red,Inbound,BLU,Morning,13.296618004866179
Red,Inbound,CIT,Evening,17.421956928838952
Red,Inbound,CIT,Morning,17.251830808080808
Red,Inbound,COO,Evening,17.513375796178345
Red,Inbound,COO,Morning,18.32018348623853
Red,Inbound,CVN,Evening,17.527327746741157
Red,Inbound,CVN,Morning,17.265966921119592
Red,Inbound,DRI,Evening,12.035831469052946
Red,Inbound,DRI,Morning,13.37891865079365
Red,Inbound,FAT,Evening,12.127016129032258
Red,Inbound,FAT,Morning,13.415603939865216
Red,Inbound,FET,Evening,17.195204178537512
Red,Inbound,FET,Morning,17.33579766536965
Red,Inbound,FOR,Evening,17.726062322946177
Red,Inbound,FOR,Morning,17.237815656565658
Red,Inbound,FOU,Evening,12.064711465451785
Red,Inbound,FOU,Morning,13.52266129032258
Red,Inbound,GDK,Evening,17.086431623931624
Red,Inbound,GDK,Morning,18.149307958477507
Red,Inbound,GOL,Evening,12.194700374531834
Red,Inbound,GOL,Morning,13.26355421686747
Red,Inbound,HOS,Evening,17.381846153846155
Red,Inbound,HOS,Morning,18.234234234234233
Red,Inbound,JAM,Evening,12.131207289293851
Red,Inbound,JAM,Morning,13.440562565720295
Red,Inbound,KIN,Evening,12.342376087779039
Red,Inbound,KIN,Morning,12.938169014084508
Red,Inbound,KYL,Evening,12.145246085011186
Red,Inbound,KYL,Morning,13.393439459720213
Red,Inbound,MUS,Evening,12.140233785822021
Red,Inbound,MUS,Morning,13.631911532385466
Red,Inbound,MYS,Evening,17.399935400516796
Red,Inbound,MYS,Morning,18.550414937759335
Red,Inbound,RED,Evening,12.180026605853287
