Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
HAR,RAN,Outbound to,Green,Evening,0.8888906074643798
PHI,GRA,Outbound to,Green,Evening,0.8887523820634784
MIL,DUN,Outbound to,Green,Morning,0.8885493867202063
JAM,HEU,Outbound to,Red,Evening,0.8885469840333727
GLE,GAL,Outbound to,Green,Morning,0.8880108818841936
CON,BUS,Outbound to,Red,Evening,0.8878333394719752
DOM,BRD,Inbound to,Green,Midday,0.8873872493187079
CPK,KIL,Inbound to,Green,Midday,0.8873644542143744
CON,BUS,Outbound to,Red,Midday,0.8867679020628433
SMI,FOU,Inbound to,Red,Morning,0.8863451031922551
DAW,WES,Inbound to,Green,Midday,0.8863391200651592
BEL,KIN,Inbound to,Red,Morning,0.8863109646680384
OUP,DOM,Inbound to,Green,Midday,0.8838452069255078
STI,KIL,Inbound to,Green,Night,0.8832164039475302
STI,KIL,Inbound to,Green,Midday,0.8829452991853799
COO,HOS,Outbound to,Red,Midday,0.8824367616103391
OUP,BRD,Inbound to,Green,Morning,0.8816012513857898
MUS,FOU,Inbound to,Red,Evening,0.8810631104652218
CCK,LEO,Outbound to,Green,Morning,0.8809046813439432
RIA,FAT,Inbound to,Red,Morning,0.880488673954981
TAL,BEL,Inbound to,Red,Evening,0.8804591605141792
RIA,FAT,Inbound to,Red,Night,0.8801885444457689
HOS,KIN,Inbound to,Red,Midday,0.8794713529846092
BLU,DRI,Inbound to,Red,Midday,0.8780945616352372
BRO,PHI,Outbound to,Green,Evening,0.8775179591816721
MUS,SMI,Inbound to,Red,Morning,0.877339277045044
SMI,FOU,Inbound to,Red,Midday,0.8768942847175203
MIL,CHA,Inbound to,Green,Morning,0.8751328591326458
JAM,MUS,Inbound to,Red,Night,0.875013136658597
SAN,BAL,Inbound to,Green,Evening,0.8746462099191767
BRD,CAB,Inbound to,Green,Morning,0.8744264903064854
BRI,CHE,Inbound to,Green,Night,0.8735667061191141
KIN,BLU,Inbound to,Red,Evening,0.8735469082387741
BEL,KIN,Outbound to,Red,Morning,0.873277411190894
RED,DRI,Inbound to,Red,Morning,0.8730094681932202
GAL,LEO,Outbound to,Green,Morning,0.8729083443843917
LAU,CCK,Outbound to,Green,Morning,0.8725296124092002
BRI,CHE,Inbound to,Green,Evening,0.8725168067484717
SAN,GLE,Outbound to,Green,Night,0.8725067755612431
BLU,KYL,Inbound to,Red,Midday,0.8724997949307342
DOM,CAB,Inbound to,Green,Evening,0.872393150411576
BRI,CHE,Inbound to,Green,Morning,0.8718456218343227
BEL,FET,Outbound to,Red,Morning,0.87138287841371
COO,BEL,Outbound to,Red,Midday,0.8705439865505632
BLU,RIA,Inbound to,Red,Midday,0.8702392358346818
JAM,SUI,Inbound to,Red,Evening,0.869943138542653
SAN,BAL,Inbound to,Green,Midday,0.8695904921415295
BLU,DRI,Inbound to,Red,Morning,0.868851903209642
WES,OGP,Inbound to,Green,Morning,0.86857424475077
TAL,HOS,Inbound to,Red,Night,0.8665697634814907
SMI,MUS,Inbound to,Red,Night,0.8665537513855698
MYS,ABB,Outbound to,Red,Morning,0.8659188047068495
BAW,LEO,Outbound to,Green,Midday,0.865835727731451
GOL,RIA,Outbound to,Red,Evening,0.8656359945703717
WIN,COW,Outbound to,Green,Evening,0.8653004258850292
KYL,BLU,Inbound to,Red,Morning,0.8643969850510782
LEO,GLE,Outbound to,Green,Morning,0.8639450782906268
PHI,GRA,Outbound to,Green,Night,0.8637454472023834
MUS,JAM,Outbound to,Red,Midday,0.8613824896888086
RIA,FAT,Inbound to,Red,Midday,0.8608328670334476
BRI,CHE,Inbound to,Green,Midday,0.8600443075415262
MYS,ABB,Inbound to,Red,Morning,0.8595122017462802
GAL,BAW,Outbound to,Green,Midday,0.8580225355510134
CHE,LAU,Outbound to,Green,Morning,0.8570732154188463
CHA,RAN,Outbound to,Green,Morning,0.856496751999353
GOL,SUI,Inbound to,Red,Midday,0.8558198246517684
FOR,FET,Inbound to,Red,Midday,0.8555992052357226
FOU,SMI,Outbound to,Red,Night,0.8552034180424224
JAM,GOL,Outbound to,Red,Morning,0.8544720290474465
RAN,HAR,Inbound to,Green,Morning,0.8541464230123436
BEE,CHA,Outbound to,Green,Morning,0.8537545353921411
DOM,GRA,Inbound to,Green,Morning,0.8521436888832621
JAM,RIA,Outbound to,Red,Night,0.8509246912618494
BLA,BLU,Inbound to,Red,Morning,0.8498190308817953
TRY,DAW,Outbound to,Green,Night,0.8496195593096774
ABB,JER,Outbound to,Red,Evening,0.8496007396305782
OUP,BRD,Inbound to,Green,Night,0.8495281298713322
GLE,LEO,Outbound to,Green,Midday,0.848338602787209
FOR,CIT,Inbound to,Red,Night,0.8483292315284856
RIA,FAT,Inbound to,Red,Evening,0.8475095765497849
HEU,JAM,Outbound to,Red,Night,0.8469822689001467
FET,CVN,Outbound to,Red,Evening,0.8457560314472798
FOR,CVN,Outbound to,Red,Midday,0.8455687339668505
DRI,GOL,Inbound to,Red,Midday,0.8449605842391948
MAR,TRY,Outbound to,Green,Night,0.8445675924652236
SUI,BLU,Outbound to,Red,Morning,0.843526395674163
JAM,RIA,Inbound to,Red,Evening,0.8433106982144434
COO,BEL,Inbound to,Red,Midday,0.8425246063199708
OUP,PHI,Inbound to,Green,Evening,0.8423175191347158
COO,HOS,Outbound to,Red,Night,0.8415484924652686
HAR,WES,Inbound to,Green,Morning,0.8413078859952857
TAL,BEL,Inbound to,Red,Morning,0.8411931218098928
TAL,HOS,Inbound to,Red,Midday,0.841140316744022
FOU,SMI,Outbound to,Red,Evening,0.8406385984568852
DOM,PAR,Outbound to,Green,Morning,0.8399862454413892
TRY,MAR,Outbound to,Green,Morning,0.839001161707565
KIL,SAN,Inbound to,Green,Midday,0.8386993899286362
DAW,STS,Outbound to,Green,Night,0.8382827965423342
BEL,FET,Outbound to,Red,Midday,0.8377941769925399
WES,OGP,Inbound to,Green,Evening,0.8377654624154476
HEU,JAM,Outbound to,Red,Morning,0.8375121189591318
ABB,BUS,Inbound to,Red,Morning,0.8370896585977157
COW,RAN,Outbound to,Green,Morning,0.8368995333028837
STI,KIL,Inbound to,Green,Morning,0.8367482894138977
WIN,BAL,Inbound to,Green,Midday,0.8366600265340756
RED,KIN,Inbound to,Red,Evening,0.8346638714712732
KIL,STI,Outbound to,Green,Evening,0.8345902423445863
BRD,PAR,Outbound to,Green,Evening,0.8331045295251414
GRA,BRD,Outbound to,Green,Evening,0.8325210271293706
CCK,LAU,Inbound to,Green,Morning,0.8324482479230079
WES,DAW,Inbound to,Green,Night,0.831748492968611
STS,DAW,Inbound to,Green,Evening,0.8299634499451791
JER,ABB,Outbound to,Red,Morning,0.8290748333926675
BLA,FAT,Inbound to,Red,Evening,0.8287876017948682
GRA,CAB,Inbound to,Green,Evening,0.8284166570387652
RAN,HAR,Inbound to,Green,Night,0.8267830144790697
DAW,STS,Inbound to,Green,Morning,0.8263492860844597
GOL,SUI,Inbound to,Red,Evening,0.8263289554831654
JAM,RIA,Outbound to,Red,Evening,0.8261532356393757
FOU,SMI,Outbound to,Red,Morning,0.8258507100628704
JAM,RIA,Outbound to,Red,Morning,0.8254579291980821
ABB,JER,Outbound to,Red,Midday,0.8243290926751007
GOL,FAT,Inbound to,Red,Evening,0.8232924335638093
RAN,HAR,Inbound to,Green,Evening,0.8227002276436195
BAL,KIL,Outbound to,Green,Morning,0.8226518812406487
RAN,COW,Inbound to,Green,Night,0.821975972162277
BAW,CCK,Inbound to,Green,Morning,0.8211780156174014
RIA,JAM,Outbound to,Red,Morning,0.821168529993288
CIT,FOR,Outbound to,Red,Midday,0.8205550639513991
SUI,BLU,Outbound to,Red,Midday,0.8195357616735596
STS,DAW,Outbound to,Green,Morning,0.8192451098394489
JAM,SUI,Outbound to,Red,Midday,0.8184753058164339
WIN,COW,Outbound to,Green,Morning,0.8183630211080188
RIA,DRI,Outbound to,Red,Evening,0.8183264966482073
HAR,STS,Inbound to,Green,Morning,0.8180721569071173
GOL,BLA,Inbound to,Red,Morning,0.8175652583225416
DRI,BLU,Outbound to,Red,Evening,0.8172368782452959
KIL,STI,Outbound to,Green,Morning,0.8172280844862421
CHA,HAR,Outbound to,Green,Evening,0.8171338919492315
FET,BEL,Inbound to,Red,Morning,0.816464093621855
OUP,OGP,Inbound to,Green,Night,0.816227766016838
KYL,RED,Outbound to,Red,Evening,0.8157327638701496
DOM,GRA,Inbound to,Green,Evening,0.8156243680601043
BLA,FAT,Inbound to,Red,Morning,0.8150515303583518
ABB,JER,Outbound to,Red,Night,0.8148717924681699
GAL,LEO,Outbound to,Green,Evening,0.8146853706068204
CHA,HAR,Inbound to,Green,Evening,0.8141150954950671
GAL,LEO,Outbound to,Green,Midday,0.8122906184934817
CON,ABB,Outbound to,Red,Evening,0.8120540787473364
DRI,GOL,Inbound to,Red,Evening,0.8110986682400599
FOU,MUS,Outbound to,Red,Night,0.811029776827341
FOU,MUS,Outbound to,Red,Midday,0.810924200384821
ABB,JER,Outbound to,Red,Morning,0.8106742681673335
RED,KIN,Inbound to,Red,Morning,0.810396424575434
FOU,JER,Outbound to,Red,Evening,0.8097067370350823
BUS,ABB,Outbound to,Red,Morning,0.8096262100840805
GLE,GAL,Outbound to,Green,Evening,0.8092277370047422
STS,DAW,Outbound to,Green,Midday,0.8083408407494441
CHE,CCK,Outbound to,Green,Midday,0.8079189301086351
FOU,SMI,Outbound to,Red,Midday,0.8073051739868055
BLU,BLA,Inbound to,Red,Midday,0.8065496005743437
DOM,PAR,Outbound to,Green,Evening,0.8065343949794157
DRI,BLU,Outbound to,Red,Morning,0.8060680235626735
SUI,BLA,Inbound to,Red,Morning,0.804376990293836
PAR,MAR,Outbound to,Green,Morning,0.8041373371902317
HOS,COO,Inbound to,Red,Midday,0.8040337536636848
WES,OGP,Inbound to,Green,Midday,0.802432849030466
HAR,STS,Outbound to,Green,Morning,0.802410739773199
STS,DAW,Inbound to,Green,Midday,0.8023524993022294
CHA,HAR,Inbound to,Green,Midday,0.8018762746357541
KYL,RED,Outbound to,Red,Midday,0.8008940017981562
