Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
JAM,FOU,Inbound to,Red,Morning,1.8974506846236299
COW,KIL,Outbound to,Green,Morning,1.892969448600091
FOU,MYS,Inbound to,Red,Morning,1.8902027734528493
STS,RAN,Outbound to,Green,Evening,1.887849344517484
FET,KIN,Inbound to,Red,Midday,1.8774759565168644
MUS,ABB,Inbound to,Red,Night,1.8768591605770464
JAM,FOU,Inbound to,Red,Midday,1.8767843095442842
JAM,SMI,Inbound to,Red,Morning,1.8676452408746713
DAW,OGP,Inbound to,Green,Midday,1.8626241385485816
HEU,RIA,Outbound to,Red,Evening,1.8619758047324557
GLE,BAW,Outbound to,Green,Evening,1.8610021385196074
MIL,CHA,Inbound to,Green,Morning,1.8538226130892763
RAN,MIL,Outbound to,Green,Midday,1.8438410787619297
FAT,SMI,Inbound to,Red,Night,1.8436506228262497
BEE,DUN,Outbound to,Green,Evening,1.8396067665866433
JAM,FOU,Inbound to,Red,Night,1.8378958379383503
HAR,BEE,Outbound to,Green,Midday,1.8329763008234339
MUS,ABB,Inbound to,Red,Evening,1.8328362489515138
SAN,DUN,Inbound to,Green,Morning,1.8324716753820347
CPK,LEO,Outbound to,Green,Morning,1.8228887854838987
RAN,MIL,Outbound to,Green,Evening,1.820751574002452
COW,DUN,Outbound to,Green,Morning,1.8183061216577598
GAL,LAU,Outbound to,Green,Morning,1.8137055893658767
MAR,STS,Outbound to,Green,Evening,1.8120410007804697
CPK,BAW,Outbound to,Green,Midday,1.809014848535584
DUN,COW,Inbound to,Green,Midday,1.8033379543995012
PAR,TRY,Outbound to,Green,Midday,1.792382475696936
KIN,KYL,Inbound to,Red,Morning,1.7901252037196702
GDK,JER,Outbound to,Red,Evening,1.7896338381573578
KYL,DRI,Inbound to,Red,Midday,1.7892323679920423
KIN,KYL,Inbound to,Red,Night,1.78910350623873
RED,FET,Outbound to,Red,Midday,1.7888932022032193
CVN,BEL,Outbound to,Red,Midday,1.7888543819998317
SAN,GAL,Outbound to,Green,Midday,1.7818159249699717
ABB,SDK,Inbound to,Red,Evening,1.7732840659301348
SAN,BAW,Outbound to,Green,Morning,1.7692250866996564
CVN,KIN,Inbound to,Red,Midday,1.7685739162412353
BAL,GLE,Outbound to,Green,Morning,1.7665723245250329
FOR,FET,Inbound to,Red,Midday,1.766302117497021
JAM,FOU,Inbound to,Red,Evening,1.7630794236876477
RAN,WIN,Outbound to,Green,Midday,1.7586257343183118
BAW,LAU,Outbound to,Green,Evening,1.7538261684982934
DAW,BEE,Outbound to,Green,Morning,1.7441967269268173
DAW,CHA,Outbound to,Green,Morning,1.7438333727087325
PAR,TRY,Outbound to,Green,Evening,1.7389187329478681
KIN,HOS,Outbound to,Red,Midday,1.7380076889551184
STI,GLE,Outbound to,Green,Evening,1.7334893799614637
